gameid,date,patch,teamname,side,result,game_mins,got_fd,got_more_grubs,scenario,golddiffat15,xpdiffat15,kills,deaths,firstbaron,firsttower,turretplates,opp_turretplates
13091-13091_game_2,2026-01-27 10:00:37,16.02,Weibo Gaming,Blue,0,24.95,0,0,Neither,,,6,20,,0.0,,
13091-13091_game_2,2026-01-27 10:00:37,16.02,Top Esports,Red,1,24.95,1,1,FD + More Grubs,,,20,6,,1.0,,
13091-13091_game_3,2026-01-27 10:47:08,16.02,Top Esports,Blue,0,32.75,0,1,More Grubs Only,,,13,23,,0.0,,
13091-13091_game_3,2026-01-27 10:47:08,16.02,Weibo Gaming,Red,1,32.75,1,0,FD Only,,,23,13,,1.0,,
13092-13092_game_1,2026-01-27 11:56:02,16.02,Invictus Gaming,Blue,0,32.3,1,1,FD + More Grubs,,,6,16,,0.0,,
13092-13092_game_1,2026-01-27 11:56:02,16.02,Anyone's Legend,Red,1,32.3,0,0,Neither,,,16,6,,1.0,,
13092-13092_game_2,2026-01-27 12:50:48,16.02,Anyone's Legend,Blue,0,32.25,0,0,Neither,,,10,26,,0.0,,
13092-13092_game_2,2026-01-27 12:50:48,16.02,Invictus Gaming,Red,1,32.25,1,1,FD + More Grubs,,,26,10,,1.0,,
13092-13092_game_3,2026-01-27 13:48:01,16.02,Invictus Gaming,Blue,0,31.8,0,1,More Grubs Only,,,3,17,,0.0,,
13092-13092_game_3,2026-01-27 13:48:01,16.02,Anyone's Legend,Red,1,31.8,1,0,FD Only,,,17,3,,1.0,,
13093-13093_game_1,2026-01-28 07:12:22,16.02,LGD Gaming,Red,0,28.75,1,0,FD Only,,,6,18,,0.0,,
13093-13093_game_2,2026-01-28 08:02:47,16.02,Ultra Prime,Blue,0,35.11666666666667,0,1,More Grubs Only,,,9,20,,1.0,,
13093-13093_game_1,2026-01-28 07:12:22,16.02,Ultra Prime,Blue,1,28.75,0,1,More Grubs Only,,,18,6,,1.0,,
13093-13093_game_2,2026-01-28 08:02:47,16.02,LGD Gaming,Red,1,35.11666666666667,1,0,FD Only,,,20,9,,0.0,,
13093-13093_game_3,2026-01-28 08:58:34,16.02,Ultra Prime,Blue,0,29.883333333333333,1,1,FD + More Grubs,,,2,12,,1.0,,
13093-13093_game_3,2026-01-28 08:58:34,16.02,LGD Gaming,Red,1,29.883333333333333,0,0,Neither,,,12,2,,0.0,,
13094-13094_game_1,2026-01-28 10:04:00,16.02,LNG Esports,Blue,1,35.516666666666666,0,1,More Grubs Only,,,20,11,,1.0,,
13094-13094_game_1,2026-01-28 10:04:00,16.02,Oh My God,Red,0,35.516666666666666,1,0,FD Only,,,11,20,,0.0,,
13094-13094_game_2,2026-01-28 11:03:16,16.02,LNG Esports,Blue,1,23.2,1,1,FD + More Grubs,,,22,2,,1.0,,
13094-13094_game_2,2026-01-28 11:03:16,16.02,Oh My God,Red,0,23.2,0,0,Neither,,,2,22,,0.0,,
13095-13095_game_1,2026-01-28 12:05:42,16.02,EDward Gaming,Blue,0,31.316666666666666,0,0,Neither,,,11,15,,1.0,,
13095-13095_game_1,2026-01-28 12:05:42,16.02,Ninjas in Pyjamas,Red,1,31.316666666666666,1,1,FD + More Grubs,,,15,11,,0.0,,
13095-13095_game_2,2026-01-28 13:08:28,16.02,EDward Gaming,Blue,1,26.45,0,1,More Grubs Only,,,19,7,,1.0,,
13095-13095_game_2,2026-01-28 13:08:28,16.02,Ninjas in Pyjamas,Red,0,26.45,1,0,FD Only,,,7,19,,0.0,,
13095-13095_game_3,2026-01-28 13:59:03,16.02,EDward Gaming,Blue,1,39.36666666666667,0,1,More Grubs Only,,,10,8,,0.0,,
13095-13095_game_3,2026-01-28 13:59:03,16.02,Ninjas in Pyjamas,Red,0,39.36666666666667,1,0,FD Only,,,8,10,,1.0,,
13097-13097_game_1,2026-01-29 11:08:40,16.02,Weibo Gaming,Blue,1,35.3,1,1,FD + More Grubs,,,16,8,,0.0,,
13097-13097_game_1,2026-01-29 11:08:40,16.02,JD Gaming,Red,0,35.3,0,0,Neither,,,8,16,,1.0,,
13097-13097_game_2,2026-01-29 12:15:36,16.02,Weibo Gaming,Blue,0,32.46666666666667,1,1,FD + More Grubs,,,4,21,,0.0,,
13097-13097_game_2,2026-01-29 12:15:36,16.02,JD Gaming,Red,1,32.46666666666667,0,0,Neither,,,21,4,,1.0,,
13096-13096_game_1,2026-01-29 09:14:37,16.02,ThunderTalk Gaming,Blue,0,29.033333333333335,0,1,More Grubs Only,,,6,18,,0.0,,
13096-13096_game_1,2026-01-29 09:14:37,16.02,Ninjas in Pyjamas,Red,1,29.033333333333335,1,0,FD Only,,,18,6,,1.0,,
13096-13096_game_2,2026-01-29 10:04:43,16.02,Ninjas in Pyjamas,Blue,1,25.666666666666668,0,1,More Grubs Only,,,23,5,,1.0,,
13096-13096_game_2,2026-01-29 10:04:43,16.02,ThunderTalk Gaming,Red,0,25.666666666666668,1,0,FD Only,,,5,23,,0.0,,
13097-13097_game_3,2026-01-29 13:12:26,16.02,JD Gaming,Blue,0,36.7,1,0,FD Only,,,7,15,,1.0,,
13097-13097_game_3,2026-01-29 13:12:26,16.02,Weibo Gaming,Red,1,36.7,0,1,More Grubs Only,,,15,7,,0.0,,
13098-13098_game_2,2026-01-30 10:06:14,16.02,Ultra Prime,Blue,0,30.216666666666665,0,1,More Grubs Only,,,6,18,,1.0,,
13098-13098_game_2,2026-01-30 10:06:14,16.02,Oh My God,Red,1,30.216666666666665,1,0,FD Only,,,18,6,,0.0,,
13099-13099_game_1,2026-01-30 11:11:36,16.02,Top Esports,Blue,0,33.56666666666667,0,1,More Grubs Only,,,6,26,,0.0,,
13099-13099_game_1,2026-01-30 11:11:36,16.02,Bilibili Gaming,Red,1,33.56666666666667,1,0,FD Only,,,26,7,,1.0,,
13099-13099_game_2,2026-01-30 12:07:58,16.02,Bilibili Gaming,Blue,0,30.133333333333333,0,0,Neither,,,17,28,,1.0,,
13099-13099_game_2,2026-01-30 12:07:58,16.02,Top Esports,Red,1,30.133333333333333,1,1,FD + More Grubs,,,28,17,,0.0,,
13098-13098_game_1,2026-01-30 09:11:00,16.02,Ultra Prime,Blue,0,31.25,0,1,More Grubs Only,,,3,15,,0.0,,
13098-13098_game_1,2026-01-30 09:11:00,16.02,Oh My God,Red,1,31.25,1,0,FD Only,,,15,3,,1.0,,
13099-13099_game_3,2026-01-30 12:59:44,16.02,Bilibili Gaming,Blue,0,32.93333333333333,0,0,Neither,,,14,22,,1.0,,
13099-13099_game_3,2026-01-30 12:59:44,16.02,Top Esports,Red,1,32.93333333333333,1,1,FD + More Grubs,,,22,15,,0.0,,
13100-13100_game_3,2026-01-31 11:12:29,16.02,JD Gaming,Blue,0,38.516666666666666,1,0,FD Only,,,9,14,,1.0,,
13100-13100_game_3,2026-01-31 11:12:29,16.02,Anyone's Legend,Red,1,38.516666666666666,0,1,More Grubs Only,,,14,9,,0.0,,
13101-13101_game_1,2026-01-31 12:28:44,16.02,Invictus Gaming,Blue,0,26.55,0,1,More Grubs Only,,,8,22,,0.0,,
13101-13101_game_1,2026-01-31 12:28:44,16.02,Bilibili Gaming,Red,1,26.55,1,0,FD Only,,,22,8,,1.0,,
13100-13100_game_1,2026-01-31 09:15:46,16.02,Anyone's Legend,Blue,1,32.81666666666667,0,1,More Grubs Only,,,14,11,,1.0,,
13100-13100_game_1,2026-01-31 09:15:46,16.02,JD Gaming,Red,0,32.81666666666667,1,0,FD Only,,,11,14,,0.0,,
13100-13100_game_2,2026-01-31 10:12:57,16.02,Anyone's Legend,Blue,0,34.61666666666667,0,1,More Grubs Only,,,14,21,,0.0,,
13100-13100_game_2,2026-01-31 10:12:57,16.02,JD Gaming,Red,1,34.61666666666667,1,0,FD Only,,,21,14,,1.0,,
13101-13101_game_2,2026-01-31 13:36:01,16.02,Bilibili Gaming,Blue,1,32.233333333333334,1,0,FD Only,,,23,13,,1.0,,
13101-13101_game_2,2026-01-31 13:36:01,16.02,Invictus Gaming,Red,0,32.233333333333334,0,1,More Grubs Only,,,13,23,,0.0,,
13102-13102_game_1,2026-02-01 09:11:51,16.02,LNG Esports,Blue,1,31.45,1,0,FD Only,,,16,9,,1.0,,
13102-13102_game_1,2026-02-01 09:11:51,16.02,LGD Gaming,Red,0,31.45,0,1,More Grubs Only,,,9,16,,0.0,,
13102-13102_game_2,2026-02-01 10:05:46,16.02,LNG Esports,Blue,0,36.516666666666666,1,1,FD + More Grubs,,,5,16,,0.0,,
13102-13102_game_2,2026-02-01 10:05:46,16.02,LGD Gaming,Red,1,36.516666666666666,0,0,Neither,,,16,5,,1.0,,
13102-13102_game_3,2026-02-01 11:22:06,16.02,LNG Esports,Blue,1,31.55,0,1,More Grubs Only,,,22,4,,1.0,,
13102-13102_game_3,2026-02-01 11:22:06,16.02,LGD Gaming,Red,0,31.55,1,0,FD Only,,,4,22,,0.0,,
13103-13103_game_1,2026-02-01 12:29:13,16.02,Top Esports,Blue,0,29.65,0,1,More Grubs Only,,,12,34,,0.0,,
13103-13103_game_1,2026-02-01 12:29:13,16.02,Anyone's Legend,Red,1,29.65,1,0,FD Only,,,34,12,,1.0,,
13103-13103_game_2,2026-02-01 13:21:04,16.02,Anyone's Legend,Blue,1,25.15,0,1,More Grubs Only,,,19,2,,1.0,,
13103-13103_game_2,2026-02-01 13:21:04,16.02,Top Esports,Red,0,25.15,1,0,FD Only,,,2,19,,0.0,,
13104-13104_game_2,2026-02-02 10:07:12,16.02,Oh My God,Red,0,35.016666666666666,1,1,FD + More Grubs,,,12,22,,0.0,,
13104-13104_game_3,2026-02-02 11:03:56,16.02,LGD Gaming,Blue,0,30.733333333333334,1,1,FD + More Grubs,,,3,16,,0.0,,
13104-13104_game_1,2026-02-02 09:11:19,16.02,LGD Gaming,Blue,0,34.833333333333336,1,1,FD + More Grubs,,,13,14,,1.0,,
13104-13104_game_1,2026-02-02 09:11:19,16.02,Oh My God,Red,1,34.833333333333336,0,0,Neither,,,14,13,,0.0,,
13104-13104_game_2,2026-02-02 10:07:12,16.02,LGD Gaming,Blue,1,35.016666666666666,0,0,Neither,,,22,12,,1.0,,
13104-13104_game_3,2026-02-02 11:03:56,16.02,Oh My God,Red,1,30.733333333333334,0,0,Neither,,,16,3,,1.0,,
13105-13105_game_1,2026-02-02 12:10:13,16.02,Weibo Gaming,Blue,0,31.7,0,1,More Grubs Only,,,7,21,,0.0,,
13105-13105_game_1,2026-02-02 12:10:13,16.02,Bilibili Gaming,Red,1,31.7,1,0,FD Only,,,21,8,,1.0,,
13105-13105_game_2,2026-02-02 13:05:37,16.02,Bilibili Gaming,Blue,1,35.85,0,1,More Grubs Only,,,22,16,,1.0,,
13105-13105_game_2,2026-02-02 13:05:37,16.02,Weibo Gaming,Red,0,35.85,1,0,FD Only,,,16,22,,0.0,,
13065-13065_game_2,2026-02-03 10:00:16,16.02,LNG Esports,Blue,1,36.2,1,1,FD + More Grubs,,,14,15,,1.0,,
13065-13065_game_2,2026-02-03 10:00:16,16.02,Ultra Prime,Red,0,36.2,0,0,Neither,,,15,14,,0.0,,
13065-13065_game_1,2026-02-03 09:10:59,16.02,LNG Esports,Blue,1,26.95,0,1,More Grubs Only,,,18,9,,1.0,,
13065-13065_game_1,2026-02-03 09:10:59,16.02,Ultra Prime,Red,0,26.95,1,0,FD Only,,,9,18,,0.0,,
13107-13107_game_1,2026-02-03 11:16:26,16.02,JD Gaming,Blue,0,29.65,0,0,Neither,,,7,21,,0.0,,
13107-13107_game_1,2026-02-03 11:16:26,16.02,Invictus Gaming,Red,1,29.65,1,1,FD + More Grubs,,,21,7,,1.0,,
13107-13107_game_2,2026-02-03 12:08:35,16.02,JD Gaming,Blue,1,32.3,1,1,FD + More Grubs,,,18,8,,1.0,,
13107-13107_game_2,2026-02-03 12:08:35,16.02,Invictus Gaming,Red,0,32.3,0,0,Neither,,,8,18,,0.0,,
13107-13107_game_3,2026-02-03 13:05:01,16.02,JD Gaming,Blue,1,37.96666666666667,0,1,More Grubs Only,,,15,9,,0.0,,
13107-13107_game_3,2026-02-03 13:05:01,16.02,Invictus Gaming,Red,0,37.96666666666667,1,0,FD Only,,,9,15,,1.0,,
13108-13108_game_2,2026-02-04 10:10:17,16.02,EDward Gaming,Blue,1,35.3,1,0,FD Only,,,23,13,,1.0,,
13108-13108_game_2,2026-02-04 10:10:17,16.02,Team WE,Red,0,35.3,0,1,More Grubs Only,,,13,23,,0.0,,
13108-13108_game_1,2026-02-04 09:14:00,16.02,Team WE,Blue,0,32.6,0,1,More Grubs Only,,,4,19,,0.0,,
13108-13108_game_1,2026-02-04 09:14:00,16.02,EDward Gaming,Red,1,32.6,1,0,FD Only,,,19,4,,1.0,,
13109-13109_game_1,2026-02-04 11:36:36,16.02,Anyone's Legend,Blue,0,39.11666666666667,0,1,More Grubs Only,,,19,24,,0.0,,
13109-13109_game_1,2026-02-04 11:36:36,16.02,Weibo Gaming,Red,1,39.11666666666667,1,0,FD Only,,,24,19,,1.0,,
13109-13109_game_2,2026-02-04 12:38:00,16.02,Weibo Gaming,Blue,0,35.483333333333334,0,0,Neither,,,8,25,,0.0,,
13109-13109_game_2,2026-02-04 12:38:00,16.02,Anyone's Legend,Red,1,35.483333333333334,1,1,FD + More Grubs,,,25,8,,1.0,,
13109-13109_game_3,2026-02-04 13:35:23,16.02,Anyone's Legend,Blue,1,30.633333333333333,0,0,Neither,,,21,21,,0.0,,
13109-13109_game_3,2026-02-04 13:35:23,16.02,Weibo Gaming,Red,0,30.633333333333333,1,1,FD + More Grubs,,,21,21,,1.0,,
13110-13110_game_1,2026-02-05 09:15:18,16.02,ThunderTalk Gaming,Blue,0,36.63333333333333,1,1,FD + More Grubs,,,6,18,,0.0,,
13110-13110_game_1,2026-02-05 09:15:18,16.02,Ninjas in Pyjamas,Red,1,36.63333333333333,0,0,Neither,,,18,6,,1.0,,
13110-13110_game_2,2026-02-05 10:13:16,16.02,ThunderTalk Gaming,Blue,0,33.65,0,1,More Grubs Only,,,8,21,,0.0,,
13110-13110_game_2,2026-02-05 10:13:16,16.02,Ninjas in Pyjamas,Red,1,33.65,1,0,FD Only,,,21,8,,1.0,,
13111-13111_game_1,2026-02-05 11:30:15,16.02,Top Esports,Blue,1,31.783333333333335,0,1,More Grubs Only,,,19,9,,0.0,,
13111-13111_game_1,2026-02-05 11:30:15,16.02,JD Gaming,Red,0,31.783333333333335,1,0,FD Only,,,9,19,,1.0,,
13111-13111_game_2,2026-02-05 12:25:13,16.02,JD Gaming,Blue,0,28.166666666666668,1,0,FD Only,,,7,13,,1.0,,
13111-13111_game_2,2026-02-05 12:25:13,16.02,Top Esports,Red,1,28.166666666666668,0,1,More Grubs Only,,,13,7,,0.0,,
13113-13113_game_2,2026-02-06 11:05:20,16.02,Bilibili Gaming,Blue,0,32.96666666666667,1,0,FD Only,,,7,17,,1.0,,
13113-13113_game_2,2026-02-06 11:05:20,16.02,Anyone's Legend,Red,1,32.96666666666667,0,1,More Grubs Only,,,17,7,,0.0,,
13112-13112_game_1,2026-02-06 07:21:23,16.02,Weibo Gaming,Blue,1,44.916666666666664,0,1,More Grubs Only,,,35,16,,1.0,,
13112-13112_game_1,2026-02-06 07:21:23,16.02,Invictus Gaming,Red,0,44.916666666666664,1,0,FD Only,,,16,35,,0.0,,
13112-13112_game_2,2026-02-06 08:28:48,16.02,Weibo Gaming,Blue,1,46.6,0,1,More Grubs Only,,,20,19,,0.0,,
13112-13112_game_2,2026-02-06 08:28:48,16.02,Invictus Gaming,Red,0,46.6,1,0,FD Only,,,19,20,,1.0,,
13113-13113_game_1,2026-02-06 09:56:59,16.02,Bilibili Gaming,Blue,1,34.36666666666667,0,1,More Grubs Only,,,23,6,,0.0,,
13113-13113_game_1,2026-02-06 09:56:59,16.02,Anyone's Legend,Red,0,34.36666666666667,1,0,FD Only,,,6,23,,1.0,,
13113-13113_game_3,2026-02-06 12:04:21,16.02,Anyone's Legend,Blue,1,34.56666666666667,0,1,More Grubs Only,,,17,13,,1.0,,
13113-13113_game_3,2026-02-06 12:04:21,16.02,Bilibili Gaming,Red,0,34.56666666666667,1,0,FD Only,,,13,17,,0.0,,
13120-13120_game_2,2026-02-07 12:12:44,16.02,Team WE,Blue,0,31.816666666666666,1,1,FD + More Grubs,,,8,20,,1.0,,
13120-13120_game_2,2026-02-07 12:12:44,16.02,Ninjas in Pyjamas,Red,1,31.816666666666666,0,0,Neither,,,20,8,,0.0,,
13114-13114_game_1,2026-02-09 06:09:38,16.02,Team WE,Blue,1,42.61666666666667,1,0,FD Only,,,35,20,,1.0,,
13114-13114_game_1,2026-02-09 06:09:38,16.02,Top Esports,Red,0,42.61666666666667,0,1,More Grubs Only,,,20,35,,0.0,,
13120-13120_game_1,2026-02-07 11:10:12,16.02,Team WE,Blue,0,39.21666666666667,0,1,More Grubs Only,,,14,21,,0.0,,
13120-13120_game_1,2026-02-07 11:10:12,16.02,Ninjas in Pyjamas,Red,1,39.21666666666667,1,0,FD Only,,,21,14,,1.0,,
13114-13114_game_2,2026-02-09 07:24:14,16.02,Team WE,Blue,0,30.566666666666666,0,0,Neither,,,14,22,,0.0,,
13114-13114_game_2,2026-02-09 07:24:14,16.02,Top Esports,Red,1,30.566666666666666,1,1,FD + More Grubs,,,22,14,,1.0,,
13114-13114_game_3,2026-02-09 08:22:46,16.02,Team WE,Blue,0,30.1,0,0,Neither,,,15,23,,0.0,,
13114-13114_game_3,2026-02-09 08:22:46,16.02,Top Esports,Red,1,30.1,1,1,FD + More Grubs,,,23,15,,1.0,,
13114-13114_game_4,2026-02-09 09:14:40,16.02,Team WE,Blue,1,37.46666666666667,0,1,More Grubs Only,,,18,11,,0.0,,
13114-13114_game_4,2026-02-09 09:14:40,16.02,Top Esports,Red,0,37.46666666666667,1,0,FD Only,,,11,18,,1.0,,
13114-13114_game_5,2026-02-09 10:14:02,16.02,Team WE,Blue,0,35.733333333333334,1,1,FD + More Grubs,,,16,23,,0.0,,
13114-13114_game_5,2026-02-09 10:14:02,16.02,Top Esports,Red,1,35.733333333333334,0,0,Neither,,,23,16,,1.0,,
13115-13115_game_1,2026-02-09 11:24:39,16.02,Ninjas in Pyjamas,Blue,0,41.6,0,1,More Grubs Only,,,16,15,,1.0,,
13115-13115_game_1,2026-02-09 11:24:39,16.02,Invictus Gaming,Red,1,41.6,1,0,FD Only,,,15,16,,0.0,,
13115-13115_game_2,2026-02-09 12:29:15,16.02,Invictus Gaming,Blue,0,32.333333333333336,1,1,FD + More Grubs,,,3,12,,0.0,,
13115-13115_game_2,2026-02-09 12:29:15,16.02,Ninjas in Pyjamas,Red,1,32.333333333333336,0,0,Neither,,,12,3,,1.0,,
13115-13115_game_3,2026-02-09 13:26:36,16.02,Invictus Gaming,Blue,0,33.03333333333333,1,1,FD + More Grubs,,,9,16,,0.0,,
13115-13115_game_3,2026-02-09 13:26:36,16.02,Ninjas in Pyjamas,Red,1,33.03333333333333,0,0,Neither,,,16,9,,1.0,,
13115-13115_game_4,2026-02-09 14:22:57,16.02,Invictus Gaming,Blue,0,32.85,1,1,FD + More Grubs,,,4,14,,0.0,,
13115-13115_game_4,2026-02-09 14:22:57,16.02,Ninjas in Pyjamas,Red,1,32.85,0,0,Neither,,,14,4,,1.0,,
13116-13116_game_1,2026-02-10 06:09:39,16.02,ThunderTalk Gaming,Blue,0,26.883333333333333,0,1,More Grubs Only,,,4,12,,0.0,,
13116-13116_game_1,2026-02-10 06:09:39,16.02,LNG Esports,Red,1,26.883333333333333,1,0,FD Only,,,12,4,,1.0,,
13116-13116_game_2,2026-02-10 06:57:56,16.02,ThunderTalk Gaming,Blue,0,43.03333333333333,1,1,FD + More Grubs,,,20,29,,0.0,,
13116-13116_game_2,2026-02-10 06:57:56,16.02,LNG Esports,Red,1,43.03333333333333,0,0,Neither,,,29,20,,1.0,,
13116-13116_game_3,2026-02-10 08:04:22,16.02,LNG Esports,Blue,1,39.38333333333333,0,1,More Grubs Only,,,16,11,,1.0,,
13116-13116_game_3,2026-02-10 08:04:22,16.02,ThunderTalk Gaming,Red,0,39.38333333333333,1,0,FD Only,,,11,16,,0.0,,
13117-13117_game_1,2026-02-10 09:32:27,16.02,Oh My God,Blue,1,41.4,1,1,FD + More Grubs,,,18,11,,1.0,,
13117-13117_game_1,2026-02-10 09:32:27,16.02,EDward Gaming,Red,0,41.4,0,0,Neither,,,11,18,,0.0,,
13117-13117_game_2,2026-02-10 10:37:42,16.02,Oh My God,Blue,1,37.483333333333334,0,0,Neither,,,22,17,,0.0,,
13117-13117_game_2,2026-02-10 10:37:42,16.02,EDward Gaming,Red,0,37.483333333333334,1,1,FD + More Grubs,,,17,22,,1.0,,
13117-13117_game_3,2026-02-10 11:37:43,16.02,Oh My God,Blue,0,33.666666666666664,0,1,More Grubs Only,,,8,17,,0.0,,
13117-13117_game_3,2026-02-10 11:37:43,16.02,EDward Gaming,Red,1,33.666666666666664,1,0,FD Only,,,17,8,,1.0,,
13117-13117_game_4,2026-02-10 12:34:34,16.02,EDward Gaming,Blue,0,44.1,0,1,More Grubs Only,,,17,19,,1.0,,
13117-13117_game_4,2026-02-10 12:34:34,16.02,Oh My God,Red,1,44.1,1,0,FD Only,,,19,17,,0.0,,
13118-13118_game_1,2026-02-11 06:11:04,16.02,Oh My God,Blue,0,46.266666666666666,0,1,More Grubs Only,,,11,22,,1.0,,
13118-13118_game_1,2026-02-11 06:11:04,16.02,Invictus Gaming,Red,1,46.266666666666666,1,0,FD Only,,,22,11,,0.0,,
13118-13118_game_2,2026-02-11 07:20:17,16.02,Invictus Gaming,Blue,1,31.433333333333334,0,1,More Grubs Only,,,13,5,,1.0,,
13118-13118_game_2,2026-02-11 07:20:17,16.02,Oh My God,Red,0,31.433333333333334,1,0,FD Only,,,5,13,,0.0,,
13118-13118_game_3,2026-02-11 08:13:26,16.02,Invictus Gaming,Blue,1,29.683333333333334,1,1,FD + More Grubs,,,26,14,,1.0,,
